bear	BEHAVE EXIST-WITH-FEATURE PAY CARRY_TRANSPORT TOLERATE DRESS_WEAR POSSESS GIVE-BIRTH CONTAIN STABILIZE_SUPPORT-PHYSICALLY
stomach	DISLIKE TOLERATE
digest	DESTROY TOLERATE EAT_BITE ABSORB LEARN SUMMARIZE
digerir	LEARN EAT_BITE TOLERATE
suffer	EXIST-WITH-FEATURE CAUSE-MENTAL-STATE HURT_HARM_ACHE TOLERATE UNDERGO-EXPERIENCE WORSEN
put_up	LOAD_PROVIDE_CHARGE_FURNISH MOUNT_ASSEMBLE_PRODUCE TOLERATE OFFER PROPOSE ORGANIZE PUT_APPLY_PLACE_PAVE PRESERVE STAY_DWELL
stick_out	EXIST-WITH-FEATURE BULGE-OUT TOLERATE
stand	EXIST-WITH-FEATURE STOP TOLERATE RESIST FOLLOW_SUPPORT_SPONSOR_FUND REMAIN HAVE-SEX PUT_APPLY_PLACE_PAVE STAY_DWELL
seguir	OBEY WATCH_LOOK-OUT PERFORM CONTINUE INFORM PULL GO-FORWARD UNDERSTAND PRESERVE SPEAK LEAVE-BEHIND SEE FOLLOW-IN-SPACE RESULT_CONSEQUENCE EXTEND WORK FOLLOW_SUPPORT_SPONSOR_FUND SPEND-TIME_PASS-TIME CHASE COME-AFTER_FOLLOW-IN-TIME REMAIN PAINT HARMONIZE OVERCOME_SURPASS
acceder	OBEY GIVE-UP_ABOLISH_ABANDON ENTER ACHIEVE AGREE_ACCEPT BELIEVE TAKE
follow	OBEY FOLLOW-IN-SPACE WATCH_LOOK-OUT OVERCOME_SURPASS WORK DERIVE FOLLOW_SUPPORT_SPONSOR_FUND IMPLY INFORM COME-AFTER_FOLLOW-IN-TIME ANALYZE SIMULATE PERFORM HARMONIZE UNDERSTAND GO-FORWARD
obedecer	MATCH OBEY AGREE_ACCEPT FOCUS
cumplir	SATISFY_FULFILL OBEY CARRY-OUT-ACTION HARMONIZE
abide_by	OBEY LIKE
comply	OBEY
obéir	OBEY
subordinarse	OBEY
acatar	OBEY
respect	LIKE
honor	LIKE AGREE_ACCEPT APPROVE_PRAISE
honrar	SATISFY_FULFILL LIKE AGREE_ACCEPT APPROVE_PRAISE
honour	LIKE AGREE_ACCEPT APPROVE_PRAISE
respecter	LIKE
honorer	LIKE PAY APPROVE_PRAISE
observe	BEHAVE WATCH_LOOK-OUT LIKE FIND MATCH SPEAK SEE HARMONIZE
forswear	SPEAK
retractarse	RESIGN_RETIRE SPEAK
resile	RESIGN_RETIRE SPEAK RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND MOVE-BACK
abjurar	GIVE_GIFT SPEAK REFUSE
recant	SPEAK
abjure	SPEAK
retractar	MOVE-BACK SPEAK CANCEL_ELIMINATE
retract	OPEN SPEAK PULL MOVE-BACK
destetar	REMOVE_TAKE-AWAY_KIDNAP BEFRIEND
ablactate	REMOVE_TAKE-AWAY_KIDNAP
wean	REMOVE_TAKE-AWAY_KIDNAP BEFRIEND
sevrer	REMOVE_TAKE-AWAY_KIDNAP
ablactar	REMOVE_TAKE-AWAY_KIDNAP
ablate	REMOVE_TAKE-AWAY_KIDNAP CORRODE_WEAR-AWAY_SCRATCH
erosionarse	CORRODE_WEAR-AWAY_SCRATCH REDUCE_DIMINISH
abnegar	GIVE-UP_ABOLISH_ABANDON
abnegate	ABSTAIN_AVOID_REFRAIN GIVE_GIFT GIVE-UP_ABOLISH_ABANDON
deny	ABSTAIN_AVOID_REFRAIN REFUSE
