sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
market	BUY SELL
buy-food	BUY
buy-into	BUY
shelter	BUY TAKE_SHELTER
subscribe-to	BUY
impulse-buy	BUY
purchase	BUY
raid	VIOLATE BUY SEARCH ATTACK_BOMB
buy-out	BUY
buy-up	BUY
diffuse	CIRCULATE_SPREAD_DISTRIBUTE AFFECT ORGANIZE
spread	CIRCULATE_SPREAD_DISTRIBUTE COVER_SPREAD_SURMOUNT OPEN ORGANIZE
fan-out	ORGANIZE
organize	MANAGE ALLY_ASSOCIATE_MARRY ORGANIZE MOUNT_ASSEMBLE_PRODUCE
organise	MANAGE ALLY_ASSOCIATE_MARRY ORGANIZE MOUNT_ASSEMBLE_PRODUCE
mastermind	ORGANIZE
engineer	ORGANIZE CREATE_MATERIALIZE
orchestrate	ORGANIZE CREATE_MATERIALIZE
restructure	ORGANIZE
reconstitute	ORGANIZE
reorganize	ORGANIZE
reorganise	ORGANIZE
regroup	SORT_CLASSIFY_ARRANGE ORGANIZE
concert	SETTLE_CONCILIATE ORGANIZE
scheme	PLAN_SCHEDULE ORGANIZE
intrigue	LIKE ORGANIZE
connive	ACCEPT ORGANIZE
dogfight	ORGANIZE FIGHT
recruit	ORGANIZE HIRE
levy	CHARGE ORGANIZE
devise	CREATE_MATERIALIZE ORGANIZE GIVE_GIFT
machinate	ALLY_ASSOCIATE_MARRY ORGANIZE
zone	ORGANIZE DIVIDE
district	ORGANIZE
interlock	BLOCK ORGANIZE TOUCH
reshuffle	DISORDER_RANDOMIZE ORGANIZE
firm-up	ORGANIZE
allocate	GIVE_GIFT
apportion	SHARE GIVE_GIFT
hand-out	GIVE_GIFT
pass-out	SLEEP GIVE_GIFT
soup	GIVE_GIFT
abnegate	ABSTAIN_AVOID_REFRAIN GIVE_UP_ABOLISH_ABANDON GIVE_GIFT
hand-over	GIVE_GIFT
fork-over	GIVE_GIFT
fork-out	GIVE_GIFT
fork-up	GIVE_GIFT
mete-out	GIVE_GIFT
parcel-out	GIVE_GIFT
lot	SEPARATE_FILTER_DETACH GIVE_GIFT
dispense	EXEMPT GIVE_GIFT
shell-out	GIVE_GIFT
deal-out	GIVE_GIFT
dish-out	GIVE_GIFT
allot	GIVE_GIFT
dole-out	GIVE_GIFT
portion	GIVE_GIFT
reward	EXALT STRENGTHEN_MAKE_RESISTANT GIVE_GIFT
repay	PAY ANSWER GIVE_BACK GIVE_GIFT
pay-back	PUNISH GIVE_GIFT
narcotize	GIVE_GIFT
narcotise	GIVE_GIFT
vouchsafe	GIVE_GIFT
lavish	GIVE_GIFT
pass-around	CIRCULATE_SPREAD_DISTRIBUTE GIVE_GIFT
dispose	DISCARD CAUSE_MENTAL_STATE PUT_APPLY_PLACE_PAVE GIVE_GIFT PREPARE
hand	DIRECT_AIM_MANEUVER GIVE_GIFT
drug	USE GIVE_GIFT
dose	TREAT GIVE_GIFT
donate	GIVE_GIFT
confer	DISCUSS GIVE_GIFT
proffer	GIVE_GIFT
offer-up	GIVE_GIFT
misdeliver	GIVE_GIFT
accouter	GIVE_GIFT
accoutre	GIVE_GIFT
digitalize	CONVERT GIVE_GIFT
entrust	GIVE_GIFT
intrust	GIVE_GIFT
confide	REVEAL GIVE_GIFT
vest	ASSIGN DRESS_WEAR GIVE_GIFT
budget	GIVE_GIFT
award	GIVE_GIFT
dope-up	GIVE_GIFT
pension	GIVE_GIFT
bequeath	GIVE_GIFT
anoint	ASSIGN GIVE_GIFT
inunct	GIVE_GIFT
oil	COVER_SPREAD_SURMOUNT GIVE_GIFT
anele	GIVE_GIFT
embrocate	GIVE_GIFT
fee	GIVE_GIFT
bung	CLOSE GIVE_GIFT
serve-up	GIVE_GIFT
dish-up	GIVE_GIFT
dish	SHAPE GIVE_GIFT
dower	GIVE_GIFT
privilege	GIVE_GIFT
chip-in	GIVE_GIFT
pony-up	GIVE_GIFT
comparison-shop	COMPARE
compare	COMPARE
preponderate	COMPARE
outweigh	COMPARE OVERCOME_SURPASS
overbalance	COMPARE COMPENSATE
outbalance	COMPARE
collate	SORT_CLASSIFY_ARRANGE COMPARE
overshadow	COMPARE CLOUD_SHADOW_HIDE
eclipse	COMPARE CLOUD_SHADOW_HIDE
vacillate	COMPARE
liken	COMPARE
analogize	COMPARE
analogise	COMPARE
google	SEARCH
grope	FEEL SEARCH TOUCH
search	SEARCH
prospect	SEARCH
fish	HUNT SEARCH
re-explore	SEARCH
glass	PUT_APPLY_PLACE_PAVE ENCLOSE_WRAP SEARCH LOAD_PROVIDE_CHARGE_FURNISH
quest-for	SEARCH
go-after	SEARCH CHASE
quest-after	SEARCH
seek-out	SEARCH
rummage	SEARCH
cast-about	SEARCH
beat-about	SEARCH
cast-around	SEARCH
grub	SEARCH OBTAIN
mapquest	SEARCH
research	SEARCH
rifle	STEAL_DEPRIVE SEARCH
scout	SEARCH
reconnoiter	SEARCH
reconnoitre	SEARCH
peer	SEARCH
put-out-feelers	SEARCH
botanize	SEARCH
botanise	SEARCH
consult	WARN SEARCH DISCUSS
look-up	SEARCH
intrude	VIOLATE SEARCH
horn-in	SEARCH
look-into	VERIFY SEARCH
dredge	COVER_SPREAD_SURMOUNT SEARCH REMOVE_TAKE_AWAY_KIDNAP
comb	STRAIGHTEN SEARCH
ransack	STEAL_DEPRIVE SEARCH
leave-no-stone-unturned	SEARCH
scrounge	ASK_REQUEST SEARCH
strip-search	SEARCH
street-walk	SEARCH
streetwalk	SEARCH
finger	SIGNAL_INDICATE SEARCH TOUCH
quest	ASK_REQUEST MAKE_A_SOUND SEARCH
divine	SEARCH PERCEIVE
redeem	CONVERT PAY HELP_HEAL_CARE_CURE RESTORE_STATE_UNDO_UNWIND
pull-through	OVERCOME_SURPASS HELP_HEAL_CARE_CURE
bring-through	HELP_HEAL_CARE_CURE
help-out	HELP_HEAL_CARE_CURE
enable	HELP_HEAL_CARE_CURE
snap-back	HELP_HEAL_CARE_CURE
revitalize	AROUSE_WAKE_ENLIVEN HELP_HEAL_CARE_CURE
cue	HELP_HEAL_CARE_CURE
alleviate	HELP_HEAL_CARE_CURE SIMPLIFY
palliate	REDUCE_DIMINISH HELP_HEAL_CARE_CURE
assuage	SATISFY_FULFILL MAKE_RELAX HELP_HEAL_CARE_CURE
aid	HELP_HEAL_CARE_CURE
detox	HELP_HEAL_CARE_CURE
detoxify	REMOVE_TAKE_AWAY_KIDNAP HELP_HEAL_CARE_CURE
skin-over	HELP_HEAL_CARE_CURE
heal	HELP_HEAL_CARE_CURE
salve	HELP_HEAL_CARE_CURE
succor	HELP_HEAL_CARE_CURE
succour	HELP_HEAL_CARE_CURE
care-for	LIKE HELP_HEAL_CARE_CURE
cicatrize	HELP_HEAL_CARE_CURE
cicatrise	HELP_HEAL_CARE_CURE
doctor	REPAIR_REMEDY DEBASE_ADULTERATE HELP_HEAL_CARE_CURE
benefit	BENEFIT_EXPLOIT HELP_HEAL_CARE_CURE
do-good	HELP_HEAL_CARE_CURE
medicate	HELP_HEAL_CARE_CURE
recuperate	HELP_HEAL_CARE_CURE OBTAIN RESTORE_STATE_UNDO_UNWIND
get-well	HELP_HEAL_CARE_CURE
bounce-back	HELP_HEAL_CARE_CURE
rescue	HELP_HEAL_CARE_CURE
unburden	REMOVE_TAKE_AWAY_KIDNAP HELP_HEAL_CARE_CURE
cup	PUT_APPLY_PLACE_PAVE SHAPE HELP_HEAL_CARE_CURE
comfort	MAKE_RELAX HELP_HEAL_CARE_CURE
soothe	MAKE_RELAX HELP_HEAL_CARE_CURE
overprotect	PROTECT HELP_HEAL_CARE_CURE
benefact	HELP_HEAL_CARE_CURE
undergird	HELP_HEAL_CARE_CURE STRENGTHEN_MAKE_RESISTANT
medicine	HELP_HEAL_CARE_CURE
subserve	HELP_HEAL_CARE_CURE
dry-nurse	HELP_HEAL_CARE_CURE
operate-on	HELP_HEAL_CARE_CURE
hygienize	HELP_HEAL_CARE_CURE
hygienise	HELP_HEAL_CARE_CURE
disinfect	HELP_HEAL_CARE_CURE
antisepticize	HELP_HEAL_CARE_CURE
foment	AROUSE_WAKE_ENLIVEN HELP_HEAL_CARE_CURE
detick	HELP_HEAL_CARE_CURE
recover	REPAIR_REMEDY HELP_HEAL_CARE_CURE USE OBTAIN RESTORE_STATE_UNDO_UNWIND
convalesce	HELP_HEAL_CARE_CURE
mend	REPAIR_REMEDY HELP_HEAL_CARE_CURE
restore	REPAIR_REMEDY GIVE_BACK HELP_HEAL_CARE_CURE RESTORE_STATE_UNDO_UNWIND
wrangle	QUARREL_POLEMICIZE HELP_HEAL_CARE_CURE
tone-up	HELP_HEAL_CARE_CURE
strengthen	HELP_HEAL_CARE_CURE STRENGTHEN_MAKE_RESISTANT
give-care	HELP_HEAL_CARE_CURE
scab	BETRAY HELP_HEAL_CARE_CURE
defervesce	HELP_HEAL_CARE_CURE
clue-in	HELP_HEAL_CARE_CURE
neck	HAVE_SEX
play-around	HAVE_SEX WORK
fool-around	HAVE_SEX JOKE
scarf	HAVE_SEX DRESS_WEAR JOIN_CONNECT
nick	HAVE_SEX DIVIDE CUT
impregnate	HAVE_SEX FILL AROUSE_WAKE_ENLIVEN
knock-up	HAVE_SEX
prang-up	HAVE_SEX
fellate	HAVE_SEX
go-down-on	HAVE_SEX
masturbate	HAVE_SEX
wank	HAVE_SEX
she-bop	HAVE_SEX
jack-off	HAVE_SEX
jerk-off	HAVE_SEX
rut	DIG_UP HAVE_SEX
fornicate	HAVE_SEX
pet	HAVE_SEX TOUCH
bed-hop	HAVE_SEX
bedhop	HAVE_SEX
sleep-around	HAVE_SEX
sodomize	HAVE_SEX
sodomise	HAVE_SEX
bugger	HAVE_SEX
backcross	HAVE_SEX
service	PREPARE HAVE_SEX HAVE_A_FUNCTION_SERVE
sleep-together	HAVE_SEX
roll-in-the-hay	HAVE_SEX
love	LIKE HAVE_SEX
make-love	HAVE_SEX
sleep-with	HAVE_SEX
get-laid	HAVE_SEX
have-sex	HAVE_SEX
know	ACCEPT KNOW HAVE_SEX
do-it	HAVE_SEX
be-intimate	HAVE_SEX
have-intercourse	HAVE_SEX
have-it-away	HAVE_SEX
have-it-off	HAVE_SEX
screw	SECURE_FASTEN_TIE HOLE_PIERCE HAVE_SEX DECEIVE TURN_CHANGE_DIRECTION
fuck	HAVE_SEX
eff	HAVE_SEX
hump	HAVE_SEX BEND
lie-with	HAVE_SEX
bed	PUT_APPLY_PLACE_PAVE HAVE_SEX LOAD_PROVIDE_CHARGE_FURNISH SLEEP
have-a-go-at-it	HAVE_SEX
get-it-on	HAVE_SEX
copulate	HAVE_SEX
pair	BORDER GROUP COMBINE_MIX_UNITE HAVE_SEX JOIN_CONNECT
couple	GROUP HAVE_SEX JOIN_CONNECT
deflower	HAVE_SEX DEBASE_ADULTERATE
pollinate	HAVE_SEX
pollenate	HAVE_SEX
cross-pollinate	HAVE_SEX
affect	AFFECT SEEM DECEIVE
impact	AFFECT PRESS_PUSH_FOLD
bear-upon	AFFECT
touch-on	AFFECT REFER REPAIR_REMEDY DISCUSS
permeate	AFFECT COMBINE_MIX_UNITE PERMEATE
pervade	AFFECT
interpenetrate	AFFECT COMBINE_MIX_UNITE
attack	FACE_CHALLENGE AFFECT ATTACK_BOMB CRITICIZE
strike-a-blow	AFFECT
honeycomb	CAVE_CARVE AFFECT HOLE_PIERCE
bacterize	AFFECT
bacterise	AFFECT
repercuss	AFFECT
hit-home	AFFECT
strike-home	AFFECT
strike-a-chord	AFFECT AROUSE_WAKE_ENLIVEN
strike-a-note	AFFECT
redound	AFFECT RETURN INCREASE_ENLARGE_MULTIPLY
tell-on	AFFECT BETRAY
enfilade	SHOOT_LAUNCH_PROPEL
pick-off	SHOOT_LAUNCH_PROPEL REMOVE_TAKE_AWAY_KIDNAP
open-fire	SHOOT_LAUNCH_PROPEL
gun	SHOOT_LAUNCH_PROPEL
loose-off	SHOOT_LAUNCH_PROPEL
let-fly	SHOOT_LAUNCH_PROPEL
let-drive	SHOOT_LAUNCH_PROPEL
undershoot	LAND_GET_OFF SHOOT_LAUNCH_PROPEL
catapult	SHOOT_LAUNCH_PROPEL THROW
machine-gun	SHOOT_LAUNCH_PROPEL
fusillade	SHOOT_LAUNCH_PROPEL
spew-out	SHOOT_LAUNCH_PROPEL
blaze	SHOOT_LAUNCH_PROPEL RUN SIGNAL_INDICATE LIGHT_SHINE BURN
cannon	SHOOT_LAUNCH_PROPEL
jet	SHOOT_LAUNCH_PROPEL FLY
sharpshoot	SHOOT_LAUNCH_PROPEL
snipe	SHOOT_LAUNCH_PROPEL HUNT CRITICIZE
pole	SHOOT_LAUNCH_PROPEL REMOVE_TAKE_AWAY_KIDNAP STABILIZE_SUPPORT_PHYSICALLY
trigger	SHOOT_LAUNCH_PROPEL AROUSE_WAKE_ENLIVEN
overshoot	SHOOT_LAUNCH_PROPEL OVERCOME_SURPASS
flight	EMBELLISH SHOOT_LAUNCH_PROPEL FLY
rocket	SHOOT_LAUNCH_PROPEL INCREASE_ENLARGE_MULTIPLY
strafe	ATTACK_BOMB
bomb-out	ATTACK_BOMB
retaliate	PUNISH ATTACK_BOMB
strike-back	ATTACK_BOMB
carpet-bomb	ATTACK_BOMB
blindside	ATTACK_BOMB CAUSE_MENTAL_STATE
invade	COVER_SPREAD_SURMOUNT VIOLATE ATTACK_BOMB
glide-bomb	ATTACK_BOMB
bombard	DIRECT_AIM_MANEUVER THROW ATTACK_BOMB CRITICIZE
bomb	FAIL_LOSE ATTACK_BOMB
savage	ATTACK_BOMB CRITICIZE
campaign	COMPETE ATTACK_BOMB WORK
bulldog	THROW ATTACK_BOMB
go-to-war	ATTACK_BOMB
take-arms	ATTACK_BOMB
take-up-arms	ATTACK_BOMB
reassail	ATTACK_BOMB
dive-bomb	ATTACK_BOMB
slam-dunk	SCORE ATTACK_BOMB
atom-bomb	ATTACK_BOMB
nuke	COOK ATTACK_BOMB
gang-rape	ATTACK_BOMB
crusade	ATTACK_BOMB WORK
counterattack	ATTACK_BOMB
counterstrike	ATTACK_BOMB
tackle	LOAD_PROVIDE_CHARGE_FURNISH FACE_CHALLENGE ATTACK_BOMB
cannonade	ATTACK_BOMB
hydrogen-bomb	ATTACK_BOMB
atomize	COVER_SPREAD_SURMOUNT SEPARATE_FILTER_DETACH ATTACK_BOMB
atomise	COVER_SPREAD_SURMOUNT SEPARATE_FILTER_DETACH ATTACK_BOMB
assail	ATTACK_BOMB CRITICIZE
assault	ATTACK_BOMB CRITICIZE
set-on	ATTACK_BOMB
war	ATTACK_BOMB
ambush	HUNT ATTACK_BOMB
scupper	ENDANGER ATTACK_BOMB
waylay	ATTACK_BOMB
lurk	PLAY_SPORT/GAME CLOUD_SHADOW_HIDE ATTACK_BOMB
ambuscade	ATTACK_BOMB
lie-in-wait	ATTACK_BOMB
crump	MAKE_A_SOUND ATTACK_BOMB EXPLODE
ravish	ATTACK_BOMB CAUSE_MENTAL_STATE
dishonor	REFUSE OFFEND_DISESTEEM ATTACK_BOMB
dishonour	REFUSE OFFEND_DISESTEEM ATTACK_BOMB
outrage	VIOLATE ATTACK_BOMB CAUSE_MENTAL_STATE
letter-bomb	ATTACK_BOMB
beset	EMBELLISH BOTHER ATTACK_BOMB
set-upon	ATTACK_BOMB
teargas	ATTACK_BOMB
pepper	COOK ATTACK_BOMB
pelt	METEOROLOGICAL THROW ATTACK_BOMB
skip-bomb	ATTACK_BOMB
blitz	ATTACK_BOMB
pattern-bomb	ATTACK_BOMB
molest	BOTHER ATTACK_BOMB
fork	SEPARATE_FILTER_DETACH SHAPE RAISE ATTACK_BOMB
aggress	ATTACK_BOMB
torpedo	ATTACK_BOMB
firebomb	ATTACK_BOMB
go-steady	COURT
chase	CAVE_CARVE COURT CHASE
chase-after	COURT CHASE
court	COURT FLATTER
woo	COURT FLATTER
romance	DECEIVE COURT ALLY_ASSOCIATE_MARRY
two-time	COURT
vamp	COURT REPAIR_REMEDY DECEIVE RENEW
butterfly	OPEN COURT FLY
coquet	COURT
coquette	COURT
philander	COURT
womanize	COURT CHANGE_APPEARANCE/STATE
womanise	COURT
button	LOAD_PROVIDE_CHARGE_FURNISH SECURE_FASTEN_TIE
garter	SECURE_FASTEN_TIE
knot	COMPLEXIFY SECURE_FASTEN_TIE WEAVE
buckle	BEND LOWER SECURE_FASTEN_TIE
retie	SECURE_FASTEN_TIE
cord	SECURE_FASTEN_TIE
lace-up	SECURE_FASTEN_TIE
knit	SEW PRESS_PUSH_FOLD SECURE_FASTEN_TIE
entwine	WEAVE SECURE_FASTEN_TIE
hopple	SECURE_FASTEN_TIE
hobble	BLOCK SECURE_FASTEN_TIE
tether	SECURE_FASTEN_TIE
grout	SECURE_FASTEN_TIE
brad	SECURE_FASTEN_TIE
batten	LOAD_PROVIDE_CHARGE_FURNISH SECURE_FASTEN_TIE
moor	SECURE_FASTEN_TIE
picket	OPPOSE_REBEL_DISSENT SECURE_FASTEN_TIE
cleat	LOAD_PROVIDE_CHARGE_FURNISH SECURE_FASTEN_TIE
bead	EMBELLISH SHAPE SECURE_FASTEN_TIE
truss	SECURE_FASTEN_TIE STABILIZE_SUPPORT_PHYSICALLY
rivet	FOCUS SECURE_FASTEN_TIE
chain	SECURE_FASTEN_TIE JOIN_CONNECT
sew	SEW SECURE_FASTEN_TIE
run-up	SEW AMASS RAISE SECURE_FASTEN_TIE
sew-together	SECURE_FASTEN_TIE
stitch	SECURE_FASTEN_TIE
leash	SECURE_FASTEN_TIE
relace	SECURE_FASTEN_TIE
girth	SECURE_FASTEN_TIE
peg-down	DECIDE_DETERMINE SECURE_FASTEN_TIE
berth	LOAD_PROVIDE_CHARGE_FURNISH SECURE_FASTEN_TIE
tie-up	FINISH_CONCLUDE_END PARTICIPATE BLOCK SECURE_FASTEN_TIE
brooch	SECURE_FASTEN_TIE
entrench	CONQUER VIOLATE SECURE_FASTEN_TIE
intrench	SECURE_FASTEN_TIE
hoop	SECURE_FASTEN_TIE
belay	SECURE_FASTEN_TIE
clamp	IMPOSE SECURE_FASTEN_TIE
lash-together	SECURE_FASTEN_TIE
wharf	LAND_GET_OFF STORE SECURE_FASTEN_TIE BUILD
rig	LOAD_PROVIDE_CHARGE_FURNISH FAKE SECURE_FASTEN_TIE
noose	SECURE_FASTEN_TIE
band	SIGNAL_INDICATE SECURE_FASTEN_TIE
implant	INSERT TEACH SECURE_FASTEN_TIE
embed	ACCOMPANY SECURE_FASTEN_TIE
imbed	SECURE_FASTEN_TIE
plant	PUT_APPLY_PLACE_PAVE TEACH ESTABLISH SECURE_FASTEN_TIE
frap	TIGHTEN SECURE_FASTEN_TIE
bitt	SECURE_FASTEN_TIE
inspan	SECURE_FASTEN_TIE
coapt	BORDER SECURE_FASTEN_TIE
rope-up	SECURE_FASTEN_TIE
bight	SECURE_FASTEN_TIE
seal	HUNT DECIDE_DETERMINE SECURE_FASTEN_TIE COVER_SPREAD_SURMOUNT CLOSE
gird	PREPARE ENCLOSE_WRAP SECURE_FASTEN_TIE
encircle	ENCLOSE_WRAP SECURE_FASTEN_TIE
fix	DECIDE_DETERMINE FAKE SECURE_FASTEN_TIE STABILIZE_SUPPORT_PHYSICALLY CASTRATE REPAIR_REMEDY ESTABLISH PUT_APPLY_PLACE_PAVE PUNISH COOK PREPARE
secure	SECURE_FASTEN_TIE LOAD_PROVIDE_CHARGE_FURNISH GUARANTEE_ENSURE_PROMISE OBTAIN CLOSE
velcro	SECURE_FASTEN_TIE
bolster	FILL STRENGTHEN_MAKE_RESISTANT STABILIZE_SUPPORT_PHYSICALLY
underlay	PUT_APPLY_PLACE_PAVE STABILIZE_SUPPORT_PHYSICALLY
underpin	STRENGTHEN_MAKE_RESISTANT STABILIZE_SUPPORT_PHYSICALLY
fixate	FOCUS BLOCK BEFRIEND STABILIZE_SUPPORT_PHYSICALLY
brace	PREPARE AROUSE_WAKE_ENLIVEN STABILIZE_SUPPORT_PHYSICALLY
steady	MAKE_RELAX STABILIZE_SUPPORT_PHYSICALLY
stabilize	STABILIZE_SUPPORT_PHYSICALLY
stabilise	STABILIZE_SUPPORT_PHYSICALLY
chock	BLOCK STABILIZE_SUPPORT_PHYSICALLY
scaffold	STABILIZE_SUPPORT_PHYSICALLY
ballast	STABILIZE_SUPPORT_PHYSICALLY
lean-on	STABILIZE_SUPPORT_PHYSICALLY
lean-against	STABILIZE_SUPPORT_PHYSICALLY
splint	STABILIZE_SUPPORT_PHYSICALLY
guy	JOKE STABILIZE_SUPPORT_PHYSICALLY
bracket	SORT_CLASSIFY_ARRANGE STABILIZE_SUPPORT_PHYSICALLY
shaft	DECEIVE STABILIZE_SUPPORT_PHYSICALLY
prop-up	STABILIZE_SUPPORT_PHYSICALLY
prop	STABILIZE_SUPPORT_PHYSICALLY
shore-up	STABILIZE_SUPPORT_PHYSICALLY
shore	LAND_GET_OFF ENCLOSE_WRAP STABILIZE_SUPPORT_PHYSICALLY
rafter	STABILIZE_SUPPORT_PHYSICALLY
shutter	CLOSE
shut	CLOSE BLOCK
caulk	CLOSE
calk	HURT_HARM_ACHE CLOSE LOAD_PROVIDE_CHARGE_FURNISH
cork	FILL CLOSE
cork-up	CLOSE
seal-off	CLOSE BLOCK
slat	LOAD_PROVIDE_CHARGE_FURNISH CLOSE
tampon	CLOSE
stopper	CLOSE
stopple	CLOSE
stop-up	CLOSE
reseal	CLOSE
zip-up	CLOSE
zipper	CLOSE
zip	RUN CLOSE
intend	PLAN_SCHEDULE MEAN
make-sense	MEAN
docket	SUMMARIZE RECORD
photograph	RECORD
chronicle	RECORD
log-up	RECORD
clock-up	RECORD
microfilm	RECORD
tally	ADD RECORD SCORE MATCH
chalk-up	AMASS RECORD
prerecord	RECORD
reshoot	RECORD
clock-out	RECORD
punch-out	RECORD
clock-off	RECORD
document	LOAD_PROVIDE_CHARGE_FURNISH RECORD
tape	ATTACH RECORD
tape-record	RECORD
videotape	RECORD
trademark	SIGNAL_INDICATE RECORD
accession	RECORD
debit	RECORD
log	RECORD CUT
rubricate	PAINT WRITE RECORD EXPLAIN
film	RECORD
ring-up	RECORD
matriculate	RECORD
notch	RECORD CUT
inventory	RECORD
stock-take	RECORD
itemize	RECORD EXPLAIN
itemise	RECORD EXPLAIN
clock-in	RECORD
punch-in	RECORD
clock-on	RECORD
intermarry	ALLY_ASSOCIATE_MARRY
miscegenate	ALLY_ASSOCIATE_MARRY
muscle-into	ALLY_ASSOCIATE_MARRY
affiliate	ALLY_ASSOCIATE_MARRY ACCOMPANY
rejoin	ALLY_ASSOCIATE_MARRY ANSWER
betroth	ALLY_ASSOCIATE_MARRY
affiance	ALLY_ASSOCIATE_MARRY
plight	ALLY_ASSOCIATE_MARRY GUARANTEE_ENSURE_PROMISE
ally-with	ALLY_ASSOCIATE_MARRY
consociate	ALLY_ASSOCIATE_MARRY
associate	ALLY_ASSOCIATE_MARRY ACCOMPANY CORRELATE
misally	ALLY_ASSOCIATE_MARRY
match	ALLY_ASSOCIATE_MARRY LOAD_PROVIDE_CHARGE_FURNISH FACE_CHALLENGE SATISFY_FULFILL MATCH JOIN_CONNECT
inmarry	ALLY_ASSOCIATE_MARRY
wive	LOAD_PROVIDE_CHARGE_FURNISH ALLY_ASSOCIATE_MARRY
federate	ALLY_ASSOCIATE_MARRY
federalize	SUBJUGATE ALLY_ASSOCIATE_MARRY
federalise	SUBJUGATE ALLY_ASSOCIATE_MARRY
ally	ALLY_ASSOCIATE_MARRY
sign-up	ALLY_ASSOCIATE_MARRY HIRE
unify	COMBINE_MIX_UNITE ALLY_ASSOCIATE_MARRY
cosign	WRITE ALLY_ASSOCIATE_MARRY
co-sign	WRITE ALLY_ASSOCIATE_MARRY
syndicate	SELL ALLY_ASSOCIATE_MARRY
enlist	ALLY_ASSOCIATE_MARRY HIRE
remarry	ALLY_ASSOCIATE_MARRY
coconspire	ALLY_ASSOCIATE_MARRY
confederate	ALLY_ASSOCIATE_MARRY
join	ALLY_ASSOCIATE_MARRY ACCOMPANY JOIN_CONNECT
get-together	GROUP ALLY_ASSOCIATE_MARRY MEET
reunify	ALLY_ASSOCIATE_MARRY
reunite	ALLY_ASSOCIATE_MARRY MEET
unionize	ALLY_ASSOCIATE_MARRY
unionise	ALLY_ASSOCIATE_MARRY
band-together	ALLY_ASSOCIATE_MARRY
band-oneself	ALLY_ASSOCIATE_MARRY
league-together	ALLY_ASSOCIATE_MARRY
conspire	ALLY_ASSOCIATE_MARRY
cabal	ALLY_ASSOCIATE_MARRY
complot	ALLY_ASSOCIATE_MARRY
conjure	ASK_REQUEST ALLY_ASSOCIATE_MARRY CREATE_MATERIALIZE
collude	ALLY_ASSOCIATE_MARRY
transact	ALLY_ASSOCIATE_MARRY
marry	EMCEE ALLY_ASSOCIATE_MARRY
get-married	ALLY_ASSOCIATE_MARRY
wed	EMCEE ALLY_ASSOCIATE_MARRY
conjoin	ALLY_ASSOCIATE_MARRY JOIN_CONNECT
hook-up-with	ALLY_ASSOCIATE_MARRY
get-hitched-with	ALLY_ASSOCIATE_MARRY
collaborate	ALLY_ASSOCIATE_MARRY DECEIVE
join-forces	ALLY_ASSOCIATE_MARRY
cooperate	ALLY_ASSOCIATE_MARRY
mismarry	ALLY_ASSOCIATE_MARRY
league	ALLY_ASSOCIATE_MARRY
covenant	SETTLE_CONCILIATE ALLY_ASSOCIATE_MARRY
trice	RAISE
trice-up	RAISE
hoist	RAISE
heave-up	RAISE
heft	RAISE MEASURE_EVALUATE
heft-up	RAISE
chin	RAISE
chin-up	RAISE
upheave	RAISE
rear	APPEAR DEVELOP_AGE RAISE BUILD
erect	RAISE BUILD
weight-lift	RAISE
weightlift	RAISE
heighten	AROUSE_WAKE_ENLIVEN RAISE INCREASE_ENLARGE_MULTIPLY
pinnacle	COVER_SPREAD_SURMOUNT RAISE
fluff	MESS RAISE
prick-up	RAISE
prick	HURT_HARM_ACHE HOLE_PIERCE RAISE
cock-up	RAISE
pitchfork	RAISE
uplift	AROUSE_WAKE_ENLIVEN RAISE
weigh-anchor	RAISE
weigh-the-anchor	RAISE
bowse	RAISE
bouse	RAISE
winch	RAISE
move-up	PROMOTE RAISE
jack	HUNT RAISE
jack-up	RAISE
rear-back	OPPOSE_REBEL_DISSENT RAISE
store	STORE
mothball	STORE
lay-aside	STORE
save-up	STORE
file-away	PUT_APPLY_PLACE_PAVE STORE
overstock	STORE
deposit	PUT_APPLY_PLACE_PAVE HOLE_PIERCE STORE
buy-in	STORE
stock-up	STORE
garage	STORE
ensile	STORE
hive-away	STORE
lay-in	STORE
salt-away	STORE
stack-away	STORE
stash-away	STORE
bottle	PUT_APPLY_PLACE_PAVE STORE
computerize	LOAD_PROVIDE_CHARGE_FURNISH AUTOMATIZE STORE
computerise	LOAD_PROVIDE_CHARGE_FURNISH AUTOMATIZE STORE
reposit	STORE
appropriate	STEAL_DEPRIVE STORE
earmark	STORE
hoard	AMASS STORE
stash	STORE
cache	STORE
lay-away	STORE
hive-up	STORE
squirrel-away	STORE
warehouse	STORE
understock	STORE
redeposit	FALL_SLIDE_DOWN STORE
imbricate	OVERLAP
overlap	OVERLAP
layer	OVERLAP
intersect	OVERLAP
stratify	OVERLAP ALTERNATE DIVIDE
cascade	FALL_SLIDE_DOWN OVERLAP
superpose	COVER_SPREAD_SURMOUNT OVERLAP
decussate	OVERLAP
cram	PUT_APPLY_PLACE_PAVE PREPARE FILL STUDY
grind-away	STUDY
bone-up	STUDY
swot	STUDY
mug-up	STUDY
swot-up	STUDY
bone	REMOVE_TAKE_AWAY_KIDNAP STUDY
brush-up	EMBELLISH STUDY
memorize	STUDY
memorise	STUDY
con	STEAL_DEPRIVE STUDY
drill	TEACH HOLE_PIERCE STUDY
practise	TRY STUDY
major	STUDY
hit-the-books	STUDY
bird	STUDY
birdwatch	STUDY
