sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
absorb	ABSORB CO_OPT COMBINE_MIX_UNITE LEARN BURDEN_BEAR CONCENTRATE_DEDICATE
suck	ATTRACT_SUCK ABSORB HAVE_SEX NOURISH_FEED EXIST_WITH_FEATURE
imbibe	ABSORB DRINK LEARN
soak-up	ABSORB CONCENTRATE_DEDICATE
sop-up	ABSORB
suck-up	ABSORB FLATTER BEHAVE
draw	ABSORB REPRESENT INCITE_INDUCE REQUIRE_NEED_WANT_HOPE PRESS_PUSH_FOLD ATTRACT_SUCK AIR REMOVE_TAKE_AWAY_KIDNAP TRAVEL SCORE BE_LOCATED_BASE INSERT SHAPE EXTRACT PAINT PULL BREATH_BLOW KILL REDUCE_DIMINISH MOVE_SOMETHING EXTEND CHOOSE OBTAIN IMAGINE WRITE
suck-in	ATTRACT_SUCK ABSORB
assimilate	ABSORB LEARN CHANGE_SWITCH CO_OPT
chemisorb	ABSORB
sponge	ABSORB CANCEL_ELIMINATE GATHER WASH_CLEAN OBTAIN
sorb	ABSORB
reabsorb	ABSORB
resorb	ABSORB
verse	LEARN CREATE_MATERIALIZE
reacquaint	LEARN
cinch	VERIFY LEARN SECURE_FASTEN_TIE
professionalize	CONVERT LEARN
professionalise	CONVERT LEARN
get-into	ENTER LEARN PARTICIPATE DRESS_WEAR OBTAIN
check-out	VERIFY LEARN REMOVE_TAKE_AWAY_KIDNAP RECORD SPEAK ANALYZE
sound-out	LEARN PRONOUNCE
feel-out	LEARN
adopt	FOLLOW_SUPPORT_SPONSOR_FUND REPRESENT CO_OPT CHANGE_APPEARANCE/STATE LEARN BEGIN
borrow	LEND LEARN
take-over	STEAL_DEPRIVE BURDEN_BEAR LEARN PAY BUY BEGIN EXEMPT REPEAT
relearn	LEARN
familiarize	LEARN
familiarise	LEARN
acquaint	INFORM LEARN KNOW
catch-up	LEARN REACH_QUANTITY/QUALITY
ingest	LEARN EAT_BITE
learn	TEACH VERIFY LEARN KNOW STUDY
larn	LEARN
acquire	FIND CHANGE_APPEARANCE/STATE LEARN TAKE OBTAIN
wise-up	INFORM LEARN
